"MESH","I","PL","S","INDEX"
"5238378614",5.242,-1.00,-1.00,-2
"5238378813",5.070,-1.00,-1.00,-2
"5238378913",5.005,0.00,0.00,-2
"5238348041",4.615,0.00,0.00,-2
"5238348042",4.560,0.00,0.00,-2
"5238348131",4.612,0.00,0.00,-2
"5238348132",4.621,0.00,0.00,-2
"5238348141",4.606,0.00,0.00,-2
"5238378142",5.057,-1.00,-1.00,-2
"5238378341",5.140,-1.00,-1.00,-2
"5238378442",5.208,1.16,0.02,-2
"5238378531",5.204,1.48,0.01,-2
"5238378542",5.261,2.70,0.02,-2
"5238378631",5.305,3.26,0.02,-2
"5238378632",5.255,2.62,0.02,-2
"5238378832",5.064,-1.00,-1.00,-2
"5238378932",5.005,0.00,0.00,-2
"5238348044",4.554,0.00,0.00,-2
